label,type,subtype,item,condition,group,sentence,alternative
rc_a_1,rc,RCs_SPR_ET,1,a,list0,那个 昨晚 揍了 服务生 一顿 的 顾客 听说过 老板 并且 记得 他。,X-X-X 毁灭 茫茫 象征性 痉挛 种 繁荣 二十四 开拓 构成 层次 种。
rc_b_1,rc,RCs_SPR_ET,1,b,list1,那个 昨晚 服务生 揍了 一顿 的 顾客 听说过 老板 并且 记得 他。,X-X-X 毁灭 单位制 茫茫 痉挛 种 繁荣 二十四 开拓 矛盾 层次 种。
rc_c_1,rc,RCs_SPR_ET,1,c,list2,老板 听说过 那个 昨晚 揍了 服务生 一顿 的 顾客 并且 通知了 记者。,X-X-X 徐悲鸿 矛盾 毁灭 钥匙 赤裸裸 敦煌 种 繁荣 阶段 氯酸钾 缺乏。
rc_d_1,rc,RCs_SPR_ET,1,d,list3,老板 听说过 那个 昨晚 服务生 揍了 一顿 的 顾客 并且 通知了 记者。,X-X-X 徐悲鸿 矛盾 毁灭 赤裸裸 钥匙 敦煌 种 繁荣 阶段 氯酸钾 缺乏。
rc_a_2,rc,RCs_SPR_ET,2,a,list1,那辆 下午 追了 摩托车 很久 的 轿车 发现了 记者 所以 停了 下来。,X-X-X 欣赏 蘑菇 笑嘻嘻 滋味 种 扣除 碳酸钠 缺乏 研究 萝卜 环境。
rc_b_2,rc,RCs_SPR_ET,2,b,list2,那辆 下午 摩托车 追了 很久 的 轿车 发现了 记者 所以 停了 下来。,X-X-X 原料 笑嘻嘻 蘑菇 滋味 种 扣除 碳酸钠 政权 研究 萝卜 环境。
rc_c_2,rc,RCs_SPR_ET,2,c,list3,记者 发现了 那辆 下午 追了 摩托车 很久 的 轿车 所以 停了 下来。,X-X-X 石灰岩 脊髓 欣赏 魔鬼 笑嘻嘻 滋味 种 严谨 研究 骨髓 环境。
rc_d_2,rc,RCs_SPR_ET,2,d,list0,记者 发现了 那辆 下午 摩托车 追了 很久 的 轿车 所以 停了 下来。,X-X-X 石灰岩 脊髓 欣赏 笑嘻嘻 魔鬼 滋味 种 严谨 研究 骨髓 环境。
rc_a_3,rc,RCs_SPR_ET,3,a,list2,那个 今天 打了 男孩 几次 的 女孩 看到了 校长 所以 假装 在读书。,X-X-X 因而 浙江 盼望 贫乏 种 贮藏 碳酸钙 仅仅 研究 淤泥 脂肪酸。
rc_b_3,rc,RCs_SPR_ET,3,b,list3,那个 今天 男孩 打了 几次 的 女孩 看到了 校长 所以 假装 在读书。,X-X-X 十分 所致 浙江 贫乏 位 贮藏 碳酸钙 仅仅 研究 淤泥 脂肪酸。
rc_c_3,rc,RCs_SPR_ET,3,c,list0,校长 看到了 那个 今天 打了 男孩 几次 的 女孩 所以 上前 询问。,X-X-X 葡萄牙 矛盾 增加 僧侣 盼望 柑桔 种 贮藏 研究 纲领 杭州。
rc_d_3,rc,RCs_SPR_ET,3,d,list1,校长 看到了 那个 今天 男孩 打了 几次 的 女孩 所以 上前 询问。,X-X-X 葡萄牙 矛盾 增加 酸性 僧侣 柑桔 种 贮藏 研究 纲领 杭州。
rc_a_4,rc,RCs_SPR_ET,4,a,list3,那辆 当时 撞了 自行车 两次 的 吉普车 拦住了 警察 并且 要求 调查清楚。,X-X-X 解决 溃疡 能不能 咕咕 种 有把握 黑猩猩 干燥 实践 教育 环境污染。
rc_b_4,rc,RCs_SPR_ET,4,b,list0,那辆 当时 自行车 撞了 两次 的 吉普车 拦住了 警察 并且 要求 调查清楚。,X-X-X 解决 能不能 溃疡 咕咕 种 有把握 黑猩猩 干燥 实践 教育 环境污染。
rc_c_4,rc,RCs_SPR_ET,4,c,list1,警察 拦住了 那辆 当时 撞了 自行车 两次 的 吉普车 并且 要求 调查清楚。,X-X-X 徐悲鸿 憧憬 解决 脸庞 称之为 咨询 种 笑嘻嘻 矛盾 教育 文艺复兴。
rc_d_4,rc,RCs_SPR_ET,4,d,list2,警察 拦住了 那辆 当时 自行车 撞了 两次 的 吉普车 并且 要求 调查清楚。,X-X-X 徐悲鸿 憧憬 解决 碳酸钠 脸庞 咨询 种 笑嘻嘻 矛盾 教育 文艺复兴。
rc_a_5,rc,RCs_SPR_ET,5,a,list0,那个 刚才 推了 男孩 一下 的 妇人 抢了 店员 并且 打伤了 她。,X-X-X 似地 陕西 淡淡 基础 种 凝视 虔诚 徘徊 获得 郭沫若 种。
rc_b_5,rc,RCs_SPR_ET,5,b,list1,那个 刚才 男孩 推了 一下 的 妇人 抢了 店员 并且 打伤了 她。,X-X-X 巩固 会儿 陕西 基础 种 凝视 虔诚 徘徊 获得 郭沫若 种。
rc_c_5,rc,RCs_SPR_ET,5,c,list2,店员 抢了 那个 刚才 推了 男孩 一下 的 妇人 并且 打伤了 她。,X-X-X 煤矿 矛盾 溶液 词汇 淡淡 基础 种 敏锐 获得 郭沫若 能。
rc_d_5,rc,RCs_SPR_ET,5,d,list3,店员 抢了 那个 刚才 男孩 推了 一下 的 妇人 并且 打伤了 她。,X-X-X 煤矿 矛盾 溶液 淡淡 词汇 基础 种 敏锐 获得 郭沫若 能。
rc_a_6,rc,RCs_SPR_ET,6,a,list1,那个 上个月 邀请了 男孩 几次 的 女孩 认识 王老师 因为 上过 她的课。,X-X-X 林明跃 蒸馏水 毁灭 悲惨 种 贮藏 革命 死亡率 研究 林瑛 唐太宗。
rc_b_6,rc,RCs_SPR_ET,6,b,list2,那个 上个月 男孩 邀请了 几次 的 女孩 认识 王老师 因为 上过 她的课。,X-X-X 硫酸铜 似地 蒸馏水 悲惨 种 贮藏 革命 死亡率 研究 为止 唐太宗。
rc_c_6,rc,RCs_SPR_ET,6,c,list3,王老师 认识 那个 上个月 邀请了 男孩 几次 的 女孩 因为 教过 她的课。,X-X-X 物质 矛盾 啄木鸟 畜牧业 毁灭 粪便 种 贮藏 研究 腹腔 显微镜。
rc_d_6,rc,RCs_SPR_ET,6,d,list0,王老师 认识 那个 上个月 男孩 邀请了 几次 的 女孩 因为 教过 她的课。,X-X-X 物质 矛盾 啄木鸟 毁灭 畜牧业 粪便 种 贮藏 研究 腹腔 显微镜。
rc_a_7,rc,RCs_SPR_ET,7,a,list2,那条 去年 救了 主人 好几次 的 狗 喜欢 小男孩 所以 很 兴奋。,X-X-X 检查 华侨 始终 椭圆形 种 亩 逐步 徐悲鸿 研究 两 途径。
rc_b_7,rc,RCs_SPR_ET,7,b,list3,那条 去年 主人 救了 好几次 的 狗 喜欢 小男孩 所以 很 兴奋。,X-X-X 分之 相等 华侨 椭圆形 种 亩 调节 徐悲鸿 研究 两 途径。
rc_c_7,rc,RCs_SPR_ET,7,c,list0,小男孩 喜欢 那条 去年 救了 主人 好几次 的 狗 所以 很 兴奋。,X-X-X 妇女 器皿 检查 教派 似地 倾向性 种 亩 研究 呢 途径。
rc_d_7,rc,RCs_SPR_ET,7,d,list1,小男孩 喜欢 那条 去年 主人 救了 好几次 的 狗 所以 很 兴奋。,X-X-X 妇女 器皿 检查 相等 女士 倾向性 种 亩 研究 呢 途径。
rc_a_8,rc,RCs_SPR_ET,8,a,list3,那个 刚才 推了 职业选手 一下 的 业余选手 骂了 裁判 而且 威胁了 他。,X-X-X 溶液 农户 集市贸易 民族 种 恍然大悟 衣裳 惭愧 似地 湖南省 种。
rc_b_8,rc,RCs_SPR_ET,8,b,list0,那个 刚才 职业选手 推了 一下 的 业余选手 骂了 裁判 而且 威胁了 他。,X-X-X 为止 多种经营 农户 民族 位 恍然大悟 衣裳 惭愧 时期 湖南省 种。
rc_c_8,rc,RCs_SPR_ET,8,c,list1,裁判 骂了 那个 刚才 推了 职业选手 一下 的 业余选手 而且 警告了 他。,X-X-X 茅草 矛盾 溶液 东欧 剩余价值 民族 种 血液循环 必须 蒸汽机 种。
rc_d_8,rc,RCs_SPR_ET,8,d,list2,裁判 骂了 那个 刚才 职业选手 推了 一下 的 业余选手 而且 警告了 他。,X-X-X 茅草 矛盾 溶液 眼花缭乱。 东欧 民族 种 血液循环 必须 蒸汽机 种。
rc_a_9,rc,RCs_SPR_ET,9,a,list0,这个 上个月 监视了 杀手 一段时间 的 侦探 讨厌 当地人 所以 没有 寻求帮助。,X-X-X 红细胞 谭嗣同 右倾 经济杠杆 种 槐树 船舶 松花江 科学 现象 一九八０。
rc_b_9,rc,RCs_SPR_ET,9,b,list1,这个 上个月 杀手 监视了 一段时间 的 侦探 讨厌 当地人 所以 没有 寻求帮助。,X-X-X 脚步声 右倾 谭嗣同 经济杠杆 种 槐树 船舶 松花江 科学 现象 一九八０。
rc_c_9,rc,RCs_SPR_ET,9,c,list2,当地人 讨厌 这个 上个月 监视了 杀手 一段时间 的 侦探 所以 没有 提供帮助。,X-X-X 葡萄 圈儿 马寅初 碳酸钠 祈祷 抗美援朝 种 蕴藏 必须 现象 一九八三。
rc_d_9,rc,RCs_SPR_ET,9,d,list3,当地人 讨厌 这个 上个月 杀手 监视了 一段时间 的 侦探 所以 没有 提供帮助。,X-X-X 葡萄 生产 马寅初 似地 碳酸钠 眼花缭乱 种 槐树 建设 现象 一九八三。
rc_a_10,rc,RCs_SPR_ET,10,a,list1,那位 最近 抱怨了 房东 好多次 的 住户 找了 律师 而且 打算 起诉。,X-X-X 刺激 硫酸铜 存贮 赤裸裸 种 闪烁 高粱 崩溃 技术 细菌 嘻嘻。
rc_b_10,rc,RCs_SPR_ET,10,b,list2,那位 最近 房东 抱怨了 好多次 的 住户 找了 律师 而且 打算 起诉。,X-X-X 刺激 同构 硫酸铜 赤裸裸 种 闪烁 高粱 崩溃 技术 细菌 嘻嘻。
rc_c_10,rc,RCs_SPR_ET,10,c,list3,律师 找了 那位 最近 抱怨了 房东 好多次 的 住户 而且 打算 起诉。,X-X-X 湿热 皮肤 刺激 显微镜 存贮 氧化铜。 种 痉挛 世界 细菌 嘻嘻。
rc_d_10,rc,RCs_SPR_ET,10,d,list0,律师 找了 那位 最近 房东 抱怨了 好多次 的 住户 而且 打算 起诉。,X-X-X 湿热 皮肤 刺激 同构 椭圆形 黑猩猩 种 痉挛 世界 细菌 嘻嘻。
rc_a_11,rc,RCs_SPR_ET,11,a,list2,那个 上个月 骂了 教练 一顿 的 球员 爱上了 女歌星 还 送她 礼物。,X-X-X 培养基 珍珠 凝结 欣喜 种 切忌 价值观 有所谓 种 丘陵 厌恶。
rc_b_11,rc,RCs_SPR_ET,11,b,list3,那个 上个月 骂了 教练 一顿 的 球员 爱上了 女歌星 还 送她 礼物。,X-X-X 培养基 珍珠 凝结 欣喜 位 切忌 价值观 有所谓 种 丘陵 厌恶。
rc_c_11,rc,RCs_SPR_ET,11,c,list0,女歌星 爱上了 那个 上个月 骂了 教练 一顿 的 球员 还 送他 礼物。,X-X-X 受精卵 矛盾 林则徐 茫茫 凝结 雕塑 种 放映 种 炼丹 厌恶。
rc_d_11,rc,RCs_SPR_ET,11,d,list1,女歌星 爱上了 那个 上个月 教练 骂了 一顿 的 球员 还 送他 礼物。,X-X-X 受精卵 矛盾 林则徐 两端 茫茫 雕塑 种 放映 种 炼丹 厌恶。
rc_a_12,rc,RCs_SPR_ET,12,a,list3,那位 以前 崇拜了 指挥家 很久 的 作曲家 结识了 小提琴手 并且 两人 常见面。,X-X-X 解释 诸葛亮 系统性 闪烁 种 二十二 细胞质 干干净净 实践 糟糕 老爷爷。
rc_b_12,rc,RCs_SPR_ET,12,b,list0,那位 以前 指挥家 崇拜了 很久 的 作曲家 结识了 小提琴手 并且 两人 常见面。,X-X-X 分之 具体化 诸葛亮 闪烁 种 二十二 细胞质 干干净净 实践 糟糕 老爷爷。
rc_c_12,rc,RCs_SPR_ET,12,c,list1,小提琴手 结识了 那位 以前 崇拜了 指挥家 很久 的 作曲家 并且 两人 常见面。,X-X-X 慢吞吞 纷纷 解释 碳酸钠 受精卵 省委 种 愈来愈 矛盾 堵塞 碳酸钙。
rc_d_12,rc,RCs_SPR_ET,12,d,list2,小提琴手 结识了 那位 以前 指挥家 崇拜了 很久 的 作曲家 并且 两人 常见面。,X-X-X 慢吞吞 纷纷 解释 受精卵 碳酸钠 省委 种 愈来愈 矛盾 堵塞 碳酸钙。
rc_a_13,rc,RCs_SPR_ET,13,a,list0,这个 去年 批评了 电影局 几次 的 女演员 很欣赏 金城武 因为 他 个性坦率。,X-X-X 三十 林巧稚 于右任 尘埃 种 硫酸铜 蒸馏水 销售额 我国 种 氢氧化钠。
rc_b_13,rc,RCs_SPR_ET,13,b,list1,这个 去年 电影局 批评了 几次 的 女演员 很欣赏 金城武 因为 他 个性坦率。,X-X-X 消灭 硫酸铜 林巧稚 尘埃 位 硫酸铜 蒸馏水 销售额 我国 种 氢氧化钠。
rc_c_13,rc,RCs_SPR_ET,13,c,list2,金城武 很欣赏 这个 去年 批评了 电影局 几次 的 女演员 因为 她 个性坦率。,X-X-X 脂肪酸 问题 溶液 奴隶主 据统计 蕴藏 种 氯酸钾 什么 或 血液循环。
rc_d_13,rc,RCs_SPR_ET,13,d,list3,金城武 很欣赏 这个 去年 电影局 批评了 几次 的 女演员 因为 她 个性坦率。,X-X-X 脂肪酸 问题 溶液 据统计 奴隶主 蕴藏 种 氯酸钾 什么 件 血液循环。
rc_a_14,rc,RCs_SPR_ET,14,a,list1,那位 上个月 约会了 飞行员 两次 的 空姐 惹怒了 经理 因为 她 常迟到。,X-X-X 甲状腺 西红柿 需要量 亩产 种 歼灭 污染物 繁殖 似地 种 慢吞吞。
rc_b_14,rc,RCs_SPR_ET,14,b,list2,那位 上个月 飞行员 约会了 两次 的 空姐 惹怒了 经理 因为 她 常迟到。,X-X-X 高纬度 椭圆形 西红柿 亩产 位 歼灭 污染物 繁殖 研究 种 慢吞吞。
rc_c_14,rc,RCs_SPR_ET,14,c,list3,经理 惹怒了 那位 上个月 约会了 飞行员 两次 的 空姐 因为 他 经常 冷嘲热讽。,X-X-X 畜牧业 纷纷 肖武斌 西红柿 需要量 压倒 种 侮辱 研究 种 概念 各式各样。
rc_d_14,rc,RCs_SPR_ET,14,d,list0,经理 惹怒了 那位 上个月 飞行员 约会了 两次 的 空姐 因为 他 经常 冷嘲热讽。,X-X-X 畜牧业 纷纷 肖武斌 氯化钠 西红柿 压倒 种 侮辱 研究 呀 概念 各式各样。
rc_a_15,rc,RCs_SPR_ET,15,a,list2,这位 今天 称赞了 导演 多次 的 男明星 批评了 影评家 并且 表示 很难过。,X-X-X 似地 矿物质 遵循 贵族 种 笑嘻嘻 水溶液 赤裸裸 矛盾 规律 冯玉祥。
rc_b_15,rc,RCs_SPR_ET,15,b,list3,这位 今天 导演 称赞了 多次 的 男明星 批评了 影评家 并且 表示 很难过。,X-X-X 似地 此种 矿物质 贵族 位 笑嘻嘻 水溶液 赤裸裸 矛盾 规律 冯玉祥。
rc_c_15,rc,RCs_SPR_ET,15,c,list0,影评家 批评了 这位 今天 称赞了 导演 多次 的 男明星 并且 表示 很难过。,X-X-X 县政府 似地 圈儿 碳酸钙 遵循 贵族 我 千百万 矛盾 规律 氧化铜。
rc_d_15,rc,RCs_SPR_ET,15,d,list1,影评家 批评了 这位 今天 导演 称赞了 多次 的 男明星 并且 表示 很难过。,X-X-X 县政府 习惯 增加 电荷 郭沫若 贵族 我 千百万 矛盾 规律 氧化铜。
rc_a_16,rc,RCs_SPR_ET,16,a,list3,那位 昨天 采访了 作家 两个小时 的 记者 质疑了 候选人 而且 扬言 报复。,X-X-X 反动 碳酸钙 恢复 气喘吁吁 种 缺乏 碳酸钙 习惯于 教育 石匠 牲畜。
rc_b_16,rc,RCs_SPR_ET,16,b,list0,那位 昨天 作家 采访了 两个小时 的 记者 质疑了 候选人 而且 扬言 报复。,X-X-X 反动 圈儿 碳酸钙 气喘吁吁 种 缺乏 碳酸钙 受精卵 教育 石匠 牲畜。
rc_c_16,rc,RCs_SPR_ET,16,c,list1,候选人 质疑了 那位 昨天 采访了 作家 两个小时 的 记者 而且 扬言 报复。,X-X-X 体育课 纷纷 兴奋 黑猩猩 仿佛 气喘吁吁 种 缺乏 技术 蔬菜 牲畜。
rc_d_16,rc,RCs_SPR_ET,16,d,list2,候选人 质疑了 那位 昨天 作家 采访了 两个小时 的 记者 而且 扬言 报复。,X-X-X 体育课 纷纷 兴奋 物体 黑猩猩 气喘吁吁 种 缺乏 技术 蔬菜 牲畜。
rc_a_17,rc,RCs_ET,17,a,list0,那个 今早 追了 犯人 一会儿 的 小狗 嗅出 主人 并且 停了 下来。,X-X-X 借以 八旗 迁徙 蒋介石 种 收割 市政 给予 实践 党政 环境。
rc_b_17,rc,RCs_ET,17,b,list1,那个 今早 犯人 追了 一会儿 的 小狗 嗅出 主人 并且 停了 下来。,X-X-X 分之 专著 八旗 蒋介石 位 收割 市政 相等 实践 党政 环境。
rc_c_17,rc,RCs_ET,17,c,list2,主人 嗅出 那个 今早 追了 犯人 一会儿 的 小狗 并且 停了 下来。,X-X-X 旗帜 矛盾 赠送 八旗 迁徙 蒋介石 种 栽培 政策 氮肥 环境。
rc_d_17,rc,RCs_ET,17,d,list3,主人 嗅出 那个 今早 犯人 追了 一会儿 的 小狗 并且 停了 下来。,X-X-X 旗帜 矛盾 赠送 迁徙 八旗 蒋介石 种 栽培 政策 氮肥 环境。
rc_a_18,rc,RCs_ET,18,a,list1,那位 昨天 教训了 邻居 一番 的 妈妈 通知 管理员 然后 报怨了 一个小时。,X-X-X 消耗 柬埔寨 奠定 锻炼 种 逐渐 六十 碳酸钠 矛盾 墨西哥 眼花缭乱。
rc_b_18,rc,RCs_ET,18,b,list2,那位 昨天 邻居 教训了 一番 的 妈妈 通知 管理员 然后 报怨了 一个小时。,X-X-X 消耗 各族 柬埔寨 锻炼 种 组成 六十 碳酸钠 矛盾 墨西哥 眼花缭乱。
rc_c_18,rc,RCs_ET,18,c,list3,管理员 通知 那位 昨天 教训了 邻居 一番 的 妈妈 然后 报怨了 一个小时。,X-X-X 香港 纷纷 消耗 硝酸钾 奠定 锻炼 种 逐渐 矛盾 古希腊 眼花缭乱。
rc_d_18,rc,RCs_ET,18,d,list0,管理员 通知 那位 昨天 邻居 教训了 一番 的 妈妈 然后 报怨了 一个小时。,X-X-X 香港 纷纷 消耗 地貌 硝酸钾 锻炼 种 逐渐 矛盾 古希腊 眼花缭乱。
rc_a_19,rc,RCs_ET,19,a,list2,这位 去年 密会了 外交部 一次 的 政治家 附议 外交官 并且 相信他。,X-X-X 解放 叶倩倩 碳酸钠 颌骨 种 笑嘻嘻 盆景 白细胞 矛盾 老奶奶。
rc_b_19,rc,RCs_ET,19,b,list3,这位 去年 外交部 密会了 一次 的 政治家 附议 外交官 并且 相信他。,X-X-X 解放 碳酸钠 叶倩倩 颌骨 种 笑嘻嘻 盆景 白细胞 矛盾 老奶奶。
rc_c_19,rc,RCs_ET,19,c,list0,外交官 附议 这位 去年 密会了 外交部 一次 的 政治家 并且 相信他。,X-X-X 熔点 习惯 转化 林巧稚 碳酸钠 劳累 种 笑嘻嘻 矛盾 叶倩倩。
rc_d_19,rc,RCs_ET,19,d,list1,外交官 附议 这位 去年 外交部 密会了 一次 的 政治家 并且 相信他。,X-X-X 熔点 习惯 溶液 碳酸钠 林巧稚 劳累 种 笑嘻嘻 矛盾 叶倩倩。
rc_a_20,rc,RCs_ET,20,a,list3,那个 今年 批评了 作家 一番 的 评论家 洽询 出版商 并且 建议了 出版内容。,X-X-X 吸收 氯酸钾 仿佛 溶解 种 慢吞吞 稻草 诸葛亮 矛盾 叶绿素 气喘吁吁。
rc_b_20,rc,RCs_ET,20,b,list0,那个 今年 作家 批评了 一番 的 评论家 洽询 出版商 并且 建议了 出版内容。,X-X-X 开展 物体 氯酸钾 溶解 种 慢吞吞 稻草 诸葛亮 矛盾 叶绿素 气喘吁吁。
rc_c_20,rc,RCs_ET,20,c,list1,出版商 洽询 那个 今年 批评了 作家 一番 的 评论家 并且 建议了 出版内容。,X-X-X 羊毛 矛盾 以北 碳酸钙 仿佛 溶解 种 慢吞吞 矛盾 乒乓球 宏观经济。
rc_d_20,rc,RCs_ET,20,d,list2,出版商 咨询 那个 今年 作家 批评了 一番 的 评论家 并且 建议了 出版内容。,X-X-X 羊毛 矛盾 似地 分之 碳酸钙 溶解 种 慢吞吞 矛盾 乒乓球 宏观经济。
rc_a_21,rc,RCs_ET,21,a,list0,那位 下午 称赞了 学生 多次 的 老师 认出 家长 然后 打了招呼。,X-X-X 危险 碳酸钠 根据 贵族 种 广泛 尘埃 均匀 实践 氢氧化钠。
rc_b_21,rc,RCs_ET,21,b,list1,那位 下午 学生 称赞了 多次 的 老师 认出 家长 然后 打了招呼。,X-X-X 生动 制度 碳酸钠 贵族 种 广泛 尘埃 均匀 实践 氢氧化钠。
rc_c_21,rc,RCs_ET,21,c,list2,家长 认出 那位 下午 称赞了 学生 多次 的 老师 然后 打了招呼。,X-X-X 尘埃 皮肤 概括 硝酸钾 根据 贵族 种 广泛 政府 环境污染。
rc_d_21,rc,RCs_ET,21,d,list3,家长 认出 那位 下午 学生 称赞了 多次 的 老师 然后 打了招呼。,X-X-X 尘埃 皮肤 概括 根据 硝酸钾 贵族 种 广泛 政府 环境污染。
rc_a_22,rc,RCs_ET,22,a,list1,那位 上周 协助了 护士 一整天 的 营养师 看了 医生 而且 确定病征。,X-X-X 右倾 银河系 淡淡 习惯于 种 碳酸钠 竹竿 交换 企业 北洋军阀。
rc_b_22,rc,RCs_ET,22,b,list2,那位 上周 护士 协助了 一整天 的 营养师 看了 医生 而且 确定病征。,X-X-X 右倾 贫农 银河系 习惯于 种 诸葛亮 竹竿 交换 企业 北洋军阀。
rc_c_22,rc,RCs_ET,22,c,list3,医生 看了 那位 上周 协助了 护士 一整天 的 营养师 而且 确定病征。,X-X-X 硫酸 纷纷 渲染 邓颖超 淡淡 硫酸铜 种 赤裸裸 企业 奴隶社会。
rc_d_22,rc,RCs_ET,22,d,list0,医生 看了 那位 上周 护士 协助了 一整天 的 营养师 而且 确定病征。,X-X-X 硫酸 纷纷 渲染 淡淡 邓颖超 硫酸铜 种 赤裸裸 企业 奴隶社会。
rc_a_23,rc,RCs_ET,23,a,list2,这位 上个月 看过 新同事 几次 的 员工 说服了 上司 然后 转了部门。,X-X-X 笑眯眯 脂肪 笑眯眯 崎岖 种 荒唐 脂肪酸 蒸馏 实践 风俗习惯。
rc_b_23,rc,RCs_ET,23,b,list3,这位 上个月 新同事 看过 几次 的 员工 说服了 上司 然后 转了部门。,X-X-X 生产物 工业品 脂肪 崎岖 种 荒唐 脂肪酸 蒸馏 实践 风俗习惯。
rc_c_23,rc,RCs_ET,23,c,list0,上司 说服了 这位 上个月 看过 新同事 几次 的 员工 然后 转了部门。,X-X-X 历史性 溶液 郭沫若 脂肪 笑眯眯 稳固 种 五十 矛盾 血液循环。
rc_d_23,rc,RCs_ET,23,d,list1,上司 说服了 这位 上个月 新同事 看过 几次 的 员工 然后 转了部门。,X-X-X 历史性 地貌 西红柿 洋铁桶 脂肪 稳固 种 五十 矛盾 血液循环。
rc_a_24,rc,RCs_ET,24,a,list3,这位 上午 陪了 妻子 许久 的 丈夫 问了 旅行社 然后 决定 规划旅行。,X-X-X 以北 胳膊 否则 悬殊 种 贯彻 腹腔 氧化铜 矛盾 艺术 气喘吁吁。
rc_b_24,rc,RCs_ET,24,b,list0,这位 上午 妻子 陪了 许久 的 丈夫 问了 旅行社 然后 决定 规划旅行。,X-X-X 似地 否则 分之 悬殊 种 贯彻 腹腔 氧化铜 矛盾 艺术 气喘吁吁。
rc_c_24,rc,RCs_ET,24,c,list1,旅行社 问了 这位 上午 陪了 妻子 许久 的 丈夫 然后 决定 规划旅行。,X-X-X 蝌蚪 权利 锻炼 卵巢 否则 悬殊 种 贯彻 矛盾 艺术 剥削阶级。
rc_d_24,rc,RCs_ET,24,d,list2,旅行社 问了 这位 上午 妻子 陪了 许久 的 丈夫 然后 决定 规划旅行。,X-X-X 蝌蚪 权利 锻炼 否则 卵巢 悬殊 种 贯彻 矛盾 艺术 剥削阶级。
